Team 1 Rank,Team 1 Tournament Rank,Team 1 Team Name,Team 1 Conference,Team 1 Wins,Team 1 Losses,Team 1 AdjEM,Team 1 AdjO,Team 1 AdjO Rank,Team 1 AdjD,Team 1 AdjD Rank,Team 1 AdjT,Team 1 AdjT Rank,Team 1 Luck,Team 1 Luck Rank,Team 1 SS AdjEM,Team 1 SS AdjEM Rank,Team 1 SS OppO,Team 1 SS OppO Rank,Team 1 SS OppD,Team 1 SS OppD Rank,Team 1 NCSOS AdjEM,Team 1 NCSOS AdjEM Rank,Team 1 Year,Team 1 ID,Team 1 Score,Team 2 Rank,Team 2 Tournament Rank,Team 2 Team Name,Team 2 Conference,Team 2 Wins,Team 2 Losses,Team 2 AdjEM,Team 2 AdjO,Team 2 AdjO Rank,Team 2 AdjD,Team 2 AdjD Rank,Team 2 AdjT,Team 2 AdjT Rank,Team 2 Luck,Team 2 Luck Rank,Team 2 SS AdjEM,Team 2 SS AdjEM Rank,Team 2 SS OppO,Team 2 SS OppO Rank,Team 2 SS OppD,Team 2 SS OppD Rank,Team 2 NCSOS AdjEM,Team 2 NCSOS AdjEM Rank,Team 2 Year,Team 2 ID,Team 2 Score
283,16,UNC Asheville,BSth,14,17,-12.35,101.2,187,113.5,319,68,118,0.119,5,-6.45,272,98.3,272,104.7,262,11.61,11,2003,1421,92,260,16,Texas Southern,SWAC,18,13,-10.45,98.3,238,108.7,281,68.4,104,0.037,75,-12.96,321,94.4,322,107.4,314,-8.09,308,2003,1411,84
4,1,Arizona,P10,28,4,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,52,8.19,26,2003,1112,80,150,16,Vermont,AE,19,11,1.57,101.1,191,99.5,114,64.4,271,0.019,119,-5.14,251,99.3,249,104.4,245,-2.29,213,2003,1436,51
30,10,Arizona St.,P10,20,12,16.49,113.9,18,97.4,78,66.9,169,-0.014,201,8.74,30,106.4,41,97.7,26,5.43,50,2003,1113,84,29,7,Memphis,CUSA,23,7,16.72,110.9,35,94.1,33,68.3,109,0.005,151,4.83,84,103.4,133,98.6,54,3.33,81,2003,1272,71
70,11,Central Michigan,MAC,25,7,10.01,109.5,51,99.4,113,71.7,20,0.137,3,2.06,122,104.3,102,102.3,152,2.86,89,2003,1141,79,26,6,Creighton,MVC,29,5,17.54,112.4,24,94.9,40,68.4,103,0.026,99,-0.19,155,102.5,159,102.7,168,-0.51,164,2003,1166,73
47,8,California,P10,22,9,13.59,109.9,45,96.3,63,65.9,208,0.061,42,7.06,57,106.7,31,99.6,79,0.3,147,2003,1143,76,50,9,N.C. State,ACC,18,13,13.18,111.2,30,98.1,88,65,257,-0.023,223,8.48,34,106.9,22,98.4,49,-6.48,292,2003,1301,74
22,5,Connecticut,BE,23,10,19.54,111.6,26,92,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.48,237,2003,1163,58,24,12,BYU,MWC,23,9,17.68,109.4,52,91.7,16,65.5,234,-0.031,247,5.49,74,107.3,11,101.8,130,5.2,52,2003,1140,53
6,3,Duke,ACC,26,7,23.75,115,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,2003,1181,67,104,14,Colorado St.,MWC,17,14,5.96,110.6,37,104.6,205,67.1,162,0.031,88,4.39,89,104.6,86,100.2,92,-3.45,235,2003,1161,57
33,9,Gonzaga,WCC,24,9,15.58,113.2,21,97.7,82,66.9,170,-0.021,220,3.92,93,104,115,100.1,87,5.83,42,2003,1211,74,36,8,Cincinnati,CUSA,17,12,14.69,105,116,90.3,13,66.4,188,-0.066,297,7.32,51,106.6,33,99.3,68,3.65,68,2003,1153,69
5,4,Illinois,B10,25,7,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,60,98.5,53,-4.18,257,2003,1228,65,56,13,Western Kentucky,SB,24,9,11.75,108,65,96.3,61,67.2,156,0.035,78,1.09,138,103.1,143,102,137,2.09,107,2003,1443,60
2,2,Kansas,B12,30,8,28.62,115,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.6,2,96.8,9,6.07,35,2003,1242,64,88,15,Utah St.,BW,22,9,7.41,107.1,85,99.7,117,61,315,0.003,159,-2,193,101.1,198,103.1,188,-0.07,155,2003,1429,61
15,3,Marquette,CUSA,27,6,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.93,42,106.1,50,98.2,40,-1.45,188,2003,1266,72,66,14,Holy Cross,Pat,25,5,10.4,105.5,107,95.1,45,65.1,250,0.065,37,-5.57,260,99,258,104.5,252,-0.64,170,2003,1221,68
28,6,Missouri,B12,22,11,17.32,111.5,27,94.2,34,66.9,173,0.043,68,11.14,5,107.1,18,95.9,1,2.97,87,2003,1281,72,55,11,Southern Illinois,MVC,24,7,11.76,110.3,40,98.6,96,67.8,125,0.063,39,1.97,124,103.5,129,101.5,120,3.35,79,2003,1356,71
18,5,Notre Dame,BE,24,10,20.31,116.5,7,96.2,60,69.2,74,0.009,139,11.01,6,107.4,9,96.3,5,3.78,65,2003,1323,70,52,12,Milwaukee,Horz,23,8,12.97,109,60,96,59,71.2,31,0.025,101,2.06,121,104.8,79,102.8,172,1.05,130,2003,1454,69
9,1,Oklahoma,B12,27,7,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,30,97.7,25,-2.32,214,2003,1328,71,244,16,South Carolina St.,MEAC,20,11,-8.59,96.4,260,105,221,71.7,21,0.115,6,-12.27,318,95.2,317,107.5,315,-0.55,165,2003,1354,54
39,4,Stanford,P10,24,9,14.57,109.8,46,95.2,49,65.6,226,0.066,35,7.26,53,106.2,46,98.9,63,3.75,66,2003,1390,77,80,13,San Diego,WCC,17,12,8.32,104.7,119,96.4,64,70.9,34,0.003,160,3.37,100,104.8,81,101.4,113,6.03,37,2003,1360,69
51,13,Tulsa,WAC,23,10,13.04,107.9,70,94.9,41,67.4,150,-0.061,291,1.05,139,102.7,155,101.7,124,4.16,62,2003,1409,84,40,4,Dayton,A10,24,6,14.53,116.4,8,101.9,161,64.4,270,0.084,14,4.91,83,104.4,99,99.5,75,5.51,47,2003,1173,71
12,5,Wisconsin,B10,24,8,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,52,99.6,80,-1.01,179,2003,1458,81,76,12,Weber St.,BSky,25,5,8.88,111.4,28,102.5,172,66.5,186,0.073,26,-1.73,185,100.5,219,102.2,151,1.29,124,2003,1451,74
46,10,Auburn,SEC,22,12,13.63,107.7,74,94.1,31,66.6,181,0.051,52,8.22,39,106,55,97.8,27,-4.71,267,2003,1120,65,17,7,Saint Joseph's,A10,23,7,20.75,109,58,88.3,6,64.1,281,-0.049,279,4.6,88,105,74,100.4,95,5.8,43,2003,1386,63
31,12,Butler,Horz,27,6,16.09,115.4,11,99.3,110,58.6,325,0.073,24,4.1,91,104.5,95,100.4,94,1.84,112,2003,1139,47,14,5,Mississippi St.,SEC,21,10,21.53,107.4,79,85.8,1,64.8,263,-0.06,290,8.85,27,106.9,23,98,34,-2.62,218,2003,1280,46
11,2,Florida,SEC,25,8,22.14,116.5,6,94.4,36,65,256,0.008,140,8.3,36,105.9,56,97.6,24,-0.9,174,2003,1196,85,157,15,Sam Houston St.,Slnd,21,7,0.82,101.5,179,100.6,136,67.2,158,0.088,13,-7.41,280,97,296,104.4,246,-2,204,2003,1358,55
41,7,Indiana,B10,21,13,14.48,113.4,20,98.9,102,63.7,284,0.05,57,10.49,8,107.2,13,96.8,8,9.29,20,2003,1231,67,38,10,Alabama,SEC,17,12,14.6,110.3,39,95.7,54,65.3,243,-0.015,205,9.55,16,106.6,32,97.1,11,2.31,102,2003,1104,62
1,1,Kentucky,SEC,32,4,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,2003,1246,95,161,16,IUPUI,MCon,19,14,0.46,102.9,153,102.5,171,67,164,0.071,27,-2.19,201,102.6,157,104.8,265,2.79,90,2003,1237,64
10,4,Louisville,CUSA,25,7,22.75,115.8,9,93,25,72.5,12,-0.029,241,6.8,61,105.4,67,98.6,56,6.01,39,2003,1257,86,135,13,Austin Peay,OVC,20,8,2.65,100.7,197,98,86,64.4,273,0.171,1,-0.97,170,104.2,109,105.1,279,7.41,27,2003,1122,64
13,6,Maryland,ACC,21,10,22,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,36,98.4,47,-5.29,282,2003,1268,75,37,11,UNC Wilmington,CAA,24,7,14.62,109.5,49,94.9,43,64.1,279,-0.031,248,-2.47,209,99.2,252,101.7,127,-0.81,173,2003,1423,73
19,7,Michigan St.,B10,22,13,20.26,110.1,43,89.9,12,63.6,286,-0.05,280,10.11,13,107.3,12,97.2,13,3.2,83,2003,1277,79,34,10,Colorado,B12,20,12,15.27,109.1,56,93.8,28,69.9,56,0.001,162,9.02,23,106.9,24,97.8,30,0.22,151,2003,1160,64
25,6,Oklahoma St.,B12,22,10,17.67,105.9,100,88.2,5,66.7,177,0.003,157,9.08,22,106.3,44,97.2,15,-1.17,183,2003,1329,77,48,11,Penn,Ivy,22,6,13.35,110.3,41,96.9,68,63.3,290,0.035,82,-1.53,182,100.4,221,101.9,132,3.49,71,2003,1335,63
3,2,Pittsburgh,BE,28,5,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.08,56,105.5,66,98.4,48,-8.24,310,2003,1338,87,179,15,Wagner,NEC,21,11,-1.16,104.7,118,105.9,238,67.6,134,0.049,61,-7.45,282,98.9,261,106.3,294,2.39,99,2003,1447,61
27,9,Purdue,B10,19,11,17.42,107,87,89.6,11,69.3,71,-0.012,194,9.53,17,107.6,6,98,36,4.87,55,2003,1345,80,23,8,LSU,SEC,21,11,18.15,111,33,92.8,24,67.5,140,-0.035,262,6.27,67,104.8,80,98.6,55,-8.36,311,2003,1261,56
8,3,Syracuse,BE,30,5,23.28,114.4,17,91.1,14,71,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,2003,1393,76,68,14,Manhattan,MAAC,23,7,10.04,105.5,106,95.4,52,68.1,117,0.014,125,-1.71,184,101.7,182,103.4,202,2.52,94,2003,1264,65
7,1,Texas,B12,26,7,23.49,119.3,3,95.8,58,69.4,67,-0.009,188,10.36,9,107.1,16,96.7,7,2.16,104,2003,1400,82,283,16,UNC Asheville,BSth,14,17,-12.35,101.2,187,113.5,319,68,118,0.119,5,-6.45,272,98.3,272,104.7,262,11.61,11,2003,1421,61
44,9,Utah,MWC,25,8,14.04,106.6,91,92.6,23,62.1,308,0.069,32,5.24,75,106.7,29,101.5,119,1.55,117,2003,1428,60,42,8,Oregon,P10,23,10,14.25,111.4,29,97.1,73,71.2,28,0.032,87,5.23,76,105.1,73,99.8,85,-4.45,262,2003,1332,58
21,2,Wake Forest,ACC,25,6,19.87,114.5,15,94.6,37,67.7,130,0.073,25,7.83,44,105.8,58,98,35,-3.8,249,2003,1448,76,147,15,East Tennessee St.,SC,17,11,1.75,101.3,186,99.6,116,75.2,3,0.036,76,-1.8,188,102.1,169,103.9,219,4.8,57,2003,1190,73
20,3,Xavier,A10,26,6,19.88,113.8,19,94,29,67.7,131,0.018,120,4.79,86,105,75,100.2,90,4.81,56,2003,1462,71,99,14,Troy St.,ASun,25,6,6.15,106.9,88,100.8,140,70.3,47,0.105,9,-5.2,253,99.3,251,104.5,248,-2.77,222,2003,1407,59
4,1,Arizona,P10,28,4,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,52,8.19,26,2003,1112,96,33,9,Gonzaga,WCC,24,9,15.58,113.2,21,97.7,82,66.9,170,-0.021,220,3.92,93,104,115,100.1,87,5.83,42,2003,1211,95
22,5,Connecticut,BE,23,10,19.54,111.6,26,92,17,71.2,29,0.005,152,8.75,29,107.3,10,98.6,57,-3.48,237,2003,1163,85,39,4,Stanford,P10,24,9,14.57,109.8,46,95.2,49,65.6,226,0.066,35,7.26,53,106.2,46,98.9,63,3.75,66,2003,1390,74
6,3,Duke,ACC,26,7,23.75,115,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,2003,1181,86,70,11,Central Michigan,MAC,25,7,10.01,109.5,51,99.4,113,71.7,20,0.137,3,2.06,122,104.3,102,102.3,152,2.86,89,2003,1141,60
2,2,Kansas,B12,30,8,28.62,115,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.6,2,96.8,9,6.07,35,2003,1242,108,30,10,Arizona St.,P10,20,12,16.49,113.9,18,97.4,78,66.9,169,-0.014,201,8.74,30,106.4,41,97.7,26,5.43,50,2003,1113,76
15,3,Marquette,CUSA,27,6,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.93,42,106.1,50,98.2,40,-1.45,188,2003,1266,101,28,6,Missouri,B12,22,11,17.32,111.5,27,94.2,34,66.9,173,0.043,68,11.14,5,107.1,18,95.9,1,2.97,87,2003,1281,92
18,5,Notre Dame,BE,24,10,20.31,116.5,7,96.2,60,69.2,74,0.009,139,11.01,6,107.4,9,96.3,5,3.78,65,2003,1323,68,5,4,Illinois,B10,25,7,24.47,113.2,22,88.7,7,67.8,127,-0.029,242,7.29,52,105.8,60,98.5,53,-4.18,257,2003,1228,60
9,1,Oklahoma,B12,27,7,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,30,97.7,25,-2.32,214,2003,1328,74,47,8,California,P10,22,9,13.59,109.9,45,96.3,63,65.9,208,0.061,42,7.06,57,106.7,31,99.6,79,0.3,147,2003,1143,65
12,5,Wisconsin,B10,24,8,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,52,99.6,80,-1.01,179,2003,1458,61,51,13,Tulsa,WAC,23,10,13.04,107.9,70,94.9,41,67.4,150,-0.061,291,1.05,139,102.7,155,101.7,124,4.16,62,2003,1409,60
46,10,Auburn,SEC,22,12,13.63,107.7,74,94.1,31,66.6,181,0.051,52,8.22,39,106,55,97.8,27,-4.71,267,2003,1120,68,21,2,Wake Forest,ACC,25,6,19.87,114.5,15,94.6,37,67.7,130,0.073,25,7.83,44,105.8,58,98,35,-3.8,249,2003,1448,62
31,12,Butler,Horz,27,6,16.09,115.4,11,99.3,110,58.6,325,0.073,24,4.1,91,104.5,95,100.4,94,1.84,112,2003,1139,79,10,4,Louisville,CUSA,25,7,22.75,115.8,9,93,25,72.5,12,-0.029,241,6.8,61,105.4,67,98.6,56,6.01,39,2003,1257,71
1,1,Kentucky,SEC,32,4,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,2003,1246,74,44,9,Utah,MWC,25,8,14.04,106.6,91,92.6,23,62.1,308,0.069,32,5.24,75,106.7,29,101.5,119,1.55,117,2003,1428,54
13,6,Maryland,ACC,21,10,22,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,36,98.4,47,-5.29,282,2003,1268,77,20,3,Xavier,A10,26,6,19.88,113.8,19,94,29,67.7,131,0.018,120,4.79,86,105,75,100.2,90,4.81,56,2003,1462,64
19,7,Michigan St.,B10,22,13,20.26,110.1,43,89.9,12,63.6,286,-0.05,280,10.11,13,107.3,12,97.2,13,3.2,83,2003,1277,68,11,2,Florida,SEC,25,8,22.14,116.5,6,94.4,36,65,256,0.008,140,8.3,36,105.9,56,97.6,24,-0.9,174,2003,1196,46
3,2,Pittsburgh,BE,28,5,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.08,56,105.5,66,98.4,48,-8.24,310,2003,1338,74,41,7,Indiana,B10,21,13,14.48,113.4,20,98.9,102,63.7,284,0.05,57,10.49,8,107.2,13,96.8,8,9.29,20,2003,1231,52
8,3,Syracuse,BE,30,5,23.28,114.4,17,91.1,14,71,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,2003,1393,68,25,6,Oklahoma St.,B12,22,10,17.67,105.9,100,88.2,5,66.7,177,0.003,157,9.08,22,106.3,44,97.2,15,-1.17,183,2003,1329,56
7,1,Texas,B12,26,7,23.49,119.3,3,95.8,58,69.4,67,-0.009,188,10.36,9,107.1,16,96.7,7,2.16,104,2003,1400,77,27,9,Purdue,B10,19,11,17.42,107,87,89.6,11,69.3,71,-0.012,194,9.53,17,107.6,6,98,36,4.87,55,2003,1345,67
4,1,Arizona,P10,28,4,26.8,115.6,10,88.8,8,72.7,11,-0.007,181,8.69,31,107.2,14,98.5,52,8.19,26,2003,1112,88,18,5,Notre Dame,BE,24,10,20.31,116.5,7,96.2,60,69.2,74,0.009,139,11.01,6,107.4,9,96.3,5,3.78,65,2003,1323,71
2,2,Kansas,B12,30,8,28.62,115,12,86.4,3,72.2,14,-0.017,208,11.84,2,108.6,2,96.8,9,6.07,35,2003,1242,69,6,3,Duke,ACC,26,7,23.75,115,13,91.3,15,70.7,40,-0.03,246,8.85,28,107.1,17,98.3,43,0.64,138,2003,1181,65
1,1,Kentucky,SEC,32,4,29.18,116.5,5,87.4,4,67.7,132,0.051,53,11.2,4,108.6,3,97.4,16,6.77,33,2003,1246,63,12,5,Wisconsin,B10,24,8,22.07,114.4,16,92.4,21,61.9,310,-0.024,228,6.46,64,106.1,52,99.6,80,-1.01,179,2003,1458,57
15,3,Marquette,CUSA,27,6,21.3,120.5,2,99.2,109,65.7,219,0.07,30,7.93,42,106.1,50,98.2,40,-1.45,188,2003,1266,77,3,2,Pittsburgh,BE,28,5,28.61,114.8,14,86.2,2,64.7,266,-0.023,224,7.08,56,105.5,66,98.4,48,-8.24,310,2003,1338,74
19,7,Michigan St.,B10,22,13,20.26,110.1,43,89.9,12,63.6,286,-0.05,280,10.11,13,107.3,12,97.2,13,3.2,83,2003,1277,60,13,6,Maryland,ACC,21,10,22,110.9,34,88.9,9,71.5,23,-0.078,301,8.23,38,106.6,36,98.4,47,-5.29,282,2003,1268,58
9,1,Oklahoma,B12,27,7,23.01,112.1,25,89.1,10,62.7,299,0.034,84,9.01,24,106.7,30,97.7,25,-2.32,214,2003,1328,65,31,12,Butler,Horz,27,6,16.09,115.4,11,99.3,110,58.6,325,0.073,24,4.1,91,104.5,95,100.4,94,1.84,112,2003,1139,54
8,3,Syracuse,BE,30,5,23.28,114.4,17,91.1,14,71,32,0.083,16,10.32,10,106.6,34,96.3,4,-3.63,242,2003,1393,79,46,10,Auburn,SEC,22,12,13.63,107.7,74,94.1,31,66.6,181,0.051,52,8.22,39,106,55,97.8,27,-4.71,267,2003,1120,78
