Team 1 Rank,Team 1 Tournament Rank,Team 1 Team Name,Team 1 Conference,Team 1 Wins,Team 1 Losses,Team 1 AdjEM,Team 1 AdjO,Team 1 AdjO Rank,Team 1 AdjD,Team 1 AdjD Rank,Team 1 AdjT,Team 1 AdjT Rank,Team 1 Luck,Team 1 Luck Rank,Team 1 SS AdjEM,Team 1 SS AdjEM Rank,Team 1 SS OppO,Team 1 SS OppO Rank,Team 1 SS OppD,Team 1 SS OppD Rank,Team 1 NCSOS AdjEM,Team 1 NCSOS AdjEM Rank,Team 1 Year,Team 1 ID,Team 1 Score,Team 2 Rank,Team 2 Tournament Rank,Team 2 Team Name,Team 2 Conference,Team 2 Wins,Team 2 Losses,Team 2 AdjEM,Team 2 AdjO,Team 2 AdjO Rank,Team 2 AdjD,Team 2 AdjD Rank,Team 2 AdjT,Team 2 AdjT Rank,Team 2 Luck,Team 2 Luck Rank,Team 2 SS AdjEM,Team 2 SS AdjEM Rank,Team 2 SS OppO,Team 2 SS OppO Rank,Team 2 SS OppD,Team 2 SS OppD Rank,Team 2 NCSOS AdjEM,Team 2 NCSOS AdjEM Rank,Team 2 Year,Team 2 ID,Team 2 Score
186,16,Niagara,MAAC,23,12,-2.76,107.2,119,110,271,68.3,72,0.118,3,-6.17,276,101.3,260,107.5,278,-5.19,284,2007,1310,77,254,16,Florida A&M,MEAC,21,14,-9.57,100.6,225,110.2,276,67.6,96,0.104,8,-10.39,323,97.7,322,108,312,10.61,13,2007,1197,69
44,7,Boston College,ACC,21,12,16.18,117.3,13,101.1,107,64.3,226,0.026,118,10.36,11,110.7,5,100.4,38,-2.41,210,2007,1130,84,71,10,Texas Tech,B12,21,13,10.98,112.2,57,101.3,110,64.9,205,0.056,47,7.79,46,108.3,48,100.5,45,2.29,94,2007,1403,75
15,5,Butler,Horz,29,7,21.45,118,11,96.5,47,58.1,331,0.016,145,4.77,85,106.6,94,101.8,79,6.61,35,2007,1139,57,64,12,Old Dominion,CAA,24,9,12.7,108.6,99,95.9,41,65.8,161,0.013,153,0.84,141,105.6,119,104.8,165,0.64,140,2007,1330,46
4,2,Georgetown,BE,30,7,28.48,122,2,93.5,21,59.4,327,0.006,163,10.41,10,109.7,18,99.3,5,-1.02,174,2007,1207,80,121,15,Belmont,ASun,23,10,4.38,106.6,132,102.2,129,66.1,155,0.022,125,-6.74,286,100,304,106.8,246,2.22,96,2007,1125,55
14,7,Indiana,B10,21,11,21.58,115.4,26,93.8,23,64.9,203,-0.058,298,9.96,14,108.5,43,98.5,3,1.51,111,2007,1231,70,49,10,Gonzaga,WCC,23,11,15.31,115.3,30,100,87,67.1,113,-0.032,262,4.15,89,106.7,89,102.5,99,9.52,19,2007,1211,57
19,6,Louisville,BE,24,10,20.35,113.5,40,93.1,18,64.2,229,-0.046,277,7.29,53,107.9,61,100.6,48,-3.61,244,2007,1257,78,66,11,Stanford,P10,18,13,12.37,109.7,86,97.3,52,65.9,160,0.028,112,9.5,23,109.2,29,99.7,15,-0.33,159,2007,1390,58
12,4,Maryland,ACC,25,9,22.42,112.4,53,90,7,71.4,17,-0.027,247,8.48,36,108.9,38,100.4,40,-3.07,231,2007,1268,82,61,13,Davidson,SC,29,5,13.32,111.8,61,98.5,66,71.9,14,0.067,33,-1.7,182,103.2,193,104.9,168,4.64,55,2007,1172,70
17,9,Michigan St.,B10,23,12,20.97,112.8,49,91.8,12,60.3,319,-0.036,265,9.07,28,109.2,27,100.2,28,-1.63,188,2007,1277,61,38,8,Marquette,BE,24,10,17.18,111.8,62,94.6,30,67.6,93,0.009,156,7.59,50,108.3,46,100.7,51,-4.27,256,2007,1266,49
1,1,North Carolina,ACC,31,7,31.37,121,3,89.6,4,72.4,8,-0.046,279,10.95,6,111,1,100.1,27,3.1,82,2007,1314,86,182,16,Eastern Kentucky,OVC,21,12,-2.58,102.7,191,105.3,177,61.3,309,0.078,23,-6.17,277,101.8,245,107.9,307,6.66,34,2007,1184,65
3,1,Ohio St.,B10,35,4,29.33,121,4,91.7,11,64.9,206,0.057,46,9.82,17,109,37,99.2,4,-1.71,191,2007,1326,78,177,16,Central Connecticut,NEC,22,12,-2.24,104.1,169,106.3,198,63.3,266,0.06,42,-8.44,314,100.4,294,108.8,324,-5.1,281,2007,1148,57
